Review,Rating
"old rude blah reason stayed jacuzzi suite, wish stayed, hotel charm lobby, rooms old 50, no fan bathroom tiles falling missing screws tub, smoke seeped floor came bathroom, receptionists rude did n't tell room, oh 25 park car just great, good thing close cheesecake factory, stay, especially price- spendy,  ",1
"hated, just got punta cana stayed melia caribe tropical.i want say did site read reviews hotel did negative feedback decided say absolutely true hate talk dominican people dominican descent im surprised 4-5 star hotel poor quality service completely food absolutely horrible, good thing restaurants make reservations 24 hours advance ridicolous, visit country hope hotels strip not like doubt melia recommend,  ",1
"absolutely horrible stayed 30th august jolly carlton deluxe room best hotel foor payed 130___ excluding breakfast, room actually quoted 315 450 euros, not lightened did not nothing special ok. hallways hotel terrible smelly worn carpets remains room-service dishes, lobby quite little 4star luxury hotel armchairs sit, arrived 9.00am rooms available 2pm, staff helpful better saying bit rude unfriendly, doormen unpolite tried send diamond factory probably friends hotel suggested factory, doormen agreement taxi driver guests airport make pay, careful, italian staying jolly hotels worst seen, worst possible example italian hospitality world ashamed,  ",1
"problems way stayed 2 nights, property not bad stayed room squeaky pipes, not pleasant thing woken 6 sound pipes squealing cause taking hot shower.they overcharged basically charged twice husband charge card stay denied, annoying, wo n't staying,  ",1
"tourists stay away bad address unless want rock concert right room stay away.it thursday night not holiday just ordinary day, started muted mid-evening earplugs, loudness increased decibels got high thought invited rock band room, interior court 2 blocks zocalo, wax ear plugs sleeping pills useless.for reason catedral hotel bad address want sightsee not change rooms.our room run furniture carpet shabby mattress shot, bathroom reasonable.we reserved quiet month ahead checked early, leaves wondering really raving catedral hotel,  ",1
"3-star service, friends stayed 6 nights nov. pretty bad experiences, arrived hotel 3am night key cards cancelled went desk treated criminals, ultimately figured checked desk staff entered wrong check-out date mistake, wait 5:30 figure, general manager said allowed enter room taken care day, nazi desk staff not budge foreigners, live japan speak japanese following conversations, handled differently guests japanese, foreigner japan expected westin hotel, lost day trip tokyo, splept tour planned unable re-book, given sorry deep bows given night free soured hotel experience, tokyo awesome suggest look hotel fully appreciate great city, desk supervisor arranged reservations friends teppan yaki steak house 22nd floor night tokyo arrived wait 20 minutes told 1 hour table lost reservation, kind service, offered send hotel place waited got check charged table charge friend refused pay, morning hotel general manager general manager kyoto westin new gm tokyo soon dinner taken total, meal complimentary begin, likely not happen credible 5-star hotels, better hotels closer action westin, searching, way allowed eat lunch buffet result sleeping breakfast day locked food terrible, breakfast great, executive room 17th floor fairly crowded tables dirty dishes guests stand wait tables cleared, free night free dinner not worth 370,000 yen 6 nights, look better,  ",1
"dump, christmas vacation family brother family, expected sun fun did not expect sick.i drank water did eat food.problems smelly dank dark rooms, no towels bath beach.stocked mini-bar 2 bottles water sprite 1 beer coca cola, big dealno chairs available beach poolfood worse college food service.italian restaurant ok 3 hour wait, frankly nyc/ north jersey eats better local pizzeria place.purpose trip sun fun having diarrhea week later.a real disappointment.rip add-on 10.00 person admission fee dom rep not package, needless delay airport collect, no pens ot forms completed airplane fee added inclusive fee,  ",1
"think 3 times choose hotel, recently took week long vacation friends family party 4 punta cana dominican republic, stayed barcelo bavaro beach resorts consists 5 different hotels, recommendation given travel agent stay barcelo bavaro, entering hotel lobby area immediately not impressed, decor plain tables area dirty, stepping desk no friendly greeting simply accepted smile right shortly, rooms basic air-conditioner located ceiling leaked water floor slippery wet type floor tiles used, food survival food, eat order stay alive, feel visit foreign country try selection make people feel home, e.g, does not eat pork, don't.. chef make scrambled eggs omelette ham cheese bacon bits scrambled eggs buffet table ham instead just plain eggs, returned d.r, 3wks ago humble writing inform deciding stay barcelo bavaro beach resorts think 3 times stayin,  ",1
"rip, self husband just returned honeymoon evening n't wait let know terrible place secrets excellence, arrived noticed cockroaches surrounding minibar called rep excellence club going send spray night cockroaches room night 1 sitting husband toothbrush, called sending immediately 45 minutes later tell people just pay attention problem, switched room ended room double beds love lucy, sick majority trip going bano minutes make matters worse toliet did n't flush waiting people fix, waste 5 thousand dollars, vip excellence club crap food serve sitting day god knows waht crawling, good thing secrets met really nice people,  ",1
"n't stay, youth hostel, boyfriend stayed night hotel, looked web sight booked suite, looked stylish lacked comes function, impossibel sleep walls hear cuple door talking building designed lika amplifier people closing opening doors night, posh windows ceiling guess happened 6 o'clock morning, room lights sun comes, impossible sleep, recomed hotel wants drinks unconscius, stains bath room floor towels big like stamps broken, youth hostel exeprienced helpful staff, great suggestion phone hotel guests come lobby, doesnt cost polight,  ",1
"worst hotel experience, stayed mont blanc barcelona pre-cruise stay booked norwegian cruise lines 24 hours bag stolen inside hotel, thieves remained premises, husband__Ç_é_ intervention prevented going room emptying safe, staff later let slip theft safe day.security hotel dire, reason room safe keys clearly marked room number, no-one security weekend ncl guests function rooms used people outside hotel, cctv cameras unavailable.staff assured report theft police failed leaving no time left report coach arrived ship, theft hotel staff extremely rude patronising adding insult injury, no-one hotel came speak nor private discuss happened, clear theft happened hotel lookout couldn__Ç_é_ care, room overlooked pool terrace quiet comfortable beds adequate storage exercise bike, breakfast buffet style mediocre thermos jugs coffee hot water, eggs bacon available request.we paid nights bed breakfast double room,  ",1
"complete disappointment, hotel complete disappointment, claims boutique hotel beach lacks amenities boutique offer, rooms definitely minimal there__Ç_é_ bed placed conveniently center room blue fluorescent light fixtures nope not building exterior room serve room__Ç_é_ lighting sheer curtains cordon bathroom, obtuse armoire barely equip carryon luggage mismatched beat alongside mini-bar no better shape, room dÄcor reminded seedy motel bare white walls fluorescent lightning floating bed just mirror ceiling what__Ç_é_ missing, food inedible despite hotel eat rooftop bar restaurant comes kitchen, hotel staff offers incompetent concierge service times tried advised visit old san juan shopping mall el yunque far you__Ç_éö better chances getting advice valet william/kevin booking tours/visits, gym closed visit renovations features available, pool small wading pond albeit roof, hotel referred island caters late night party scene guests, you__Ç_éÈe looking relaxing pleasant holiday i__Ç_éö recommend intercontinental el san juan ritz hotels nearby, hotel claims big offers little__Ç,  ",1
"misery misery word hotel, wife arrived knew problems outside carpeting shabby littered, room narrow bathroom lacked amenities expect hotel charges, towels worn, complained given room equally appalling, pillows called pillows flat flatter pancake, hot humid lowered thermostat, did absolutely nothing, feel temperature probably controlled hotel, night sweating rough worn sheets glad pay hotel 100 euro penalty unforntunately agreed taking room, penalty early check planned stay nights.i wonder people taken loss early checkout, avoid hotel, hotel does not rate star,  ",1
"not stay place needs major remodel, hotel far away fun miami beach hotel food quite expensive options, charged 22 day parking 10 day resort fees really did not feel like resort, staff not helpful laughed did not feel like dressing spend 100 lousy restaurant like restaurant option, old room service menu room upset tried order not bring new, maintenance come fix phone utility box open bathroom exposing pipes wall, water shower quite cold tried different times, plus pool beach nice,  ",1
"dissapointed got bumped hotel, husband booked package expedia air hotel, flight delta 4 hour delay, supposed arrive punta cana 12:30 did n't arive hotel 5:30 p.m. tired anxious room start vacation, check-in approached manager told seat chair lobby, went sit noticed vommited ashtray chairs floor told sit gross, stepped smell hours, asked seat chair told delay sick sitting, insisted needed seat, asked bad news.she proceeded tell overbooked did not room us.i told booked room expedia 8 months ago confirmed reservation, asked gave room away, no answer, said stay hotel 2 days 30 min, away come rest stay stay hotel week, told stayed hotel wanted stay booked, told did not like hotel offering asked hotel stay, said no choice.i said basically telling no choice right, ended transferring resort, long aggravating trip decided did not want repack deal incompetant staff, decided stay make best stay, problem room resort change rooms did not second room 10:00 p.m. 4:00 a.m. quite exausted, gran bahia said comp 50 day stayed resort, sent somebody resort meet couples got bumped, 6 couples booked expedia coincidence, not, pulled wad 100 told sign waiver stating agreed bahia expedia not responsible, scam going, stayed week excellence issues food not good, husband got sick realay bad stomache couple days, n't know bad food water vommit stepped gran bahia, not happy campers,  ",1
